user_id	bucket	timestamp	block reason
25332074	treatment	20150529235317	spam
25333696	treatment	20150529235742	hard username
25331461	control	20150529235826	spam
25332525	control	20150530000049	soft username
25333014	treatment	20150530000219	spam
25332315	control	20150530000343	spam
25334688	treatment	20150530000552	hard username
25325371	control	20150530000602	spam
25334017	control	20150530000738	hard username
25333778	treatment	20150530000838	hard username
25330762	treatment	20150530001050	spam
25334705	control	20150530001713	abuse
25334887	control	20150530005844	hard username
25331701	control	20150530012539	abuse
25335090	treatment	20150530014849	soft username
25335113	control	20150530022944	abuse
25335413	control	20150530032254	abuse
25335926	treatment	20150530052531	soft username
25336016	treatment	20150530053455	abuse
25332568	treatment	20150530054209	spam
25331292	treatment	20150530054317	hard username
25330605	control	20150530054429	spam
25330146	treatment	20150530054554	hard username
25328504	treatment	20150530054728	spam
25328186	treatment	20150530054805	spam
25327398	treatment	20150530054857	spam
25327331	control	20150530054919	spam
25327074	treatment	20150530055022	spam
25336129	control	20150530060344	spam
25336554	treatment	20150530062814	other
25336062	treatment	20150530063033	abuse
25335687	control	20150530063703	hard username
25336592	treatment	20150530063911	spam
25336636	treatment	20150530064825	other
25336702	treatment	20150530065345	abuse
25332326	treatment	20150530065817	soft username
25336652	treatment	20150530070113	abuse
25336830	treatment	20150530071842	abuse
25335668	treatment	20150530072043	hard username
25336029	control	20150530072106	hard username
25336959	control	20150530073216	abuse
25336842	treatment	20150530073234	hard username
25336761	control	20150530073307	spam
25337113	control	20150530080104	abuse
25337173	control	20150530082011	hard username
25337311	control	20150530083124	abuse
25337377	control	20150530083658	abuse
25336800	treatment	20150530084450	hard username
25337382	treatment	20150530084914	spam
25337429	control	20150530084937	abuse
25337475	control	20150530090726	abuse
25337630	treatment	20150530091214	sockpuppetry
25337600	treatment	20150530091544	hard username
25331848	treatment	20150530091552	hard username
25331787	control	20150530091553	hard username
25331775	control	20150530091553	hard username
25337386	treatment	20150530091624	hard username
25337830	treatment	20150530094032	abuse
25337940	treatment	20150530100149	hard username
25336861	control	20150530100714	hard username
25336963	control	20150530102724	abuse
25334628	treatment	20150530105402	hard username
25338019	control	20150530110643	hard username
25338424	treatment	20150530110950	spam
25336923	control	20150530112008	abuse
25338049	control	20150530112757	abuse
25331706	treatment	20150530112859	abuse
25333906	treatment	20150530113402	soft username
25338283	control	20150530113501	hard username
25338317	control	20150530115531	hard username
25338124	treatment	20150530120046	hard username
25334908	treatment	20150530121457	abuse
25327184	treatment	20150530121713	hard username
25338698	treatment	20150530122106	hard username
25332928	treatment	20150530122205	hard username
25338681	control	20150530123003	spam
25336085	control	20150530124124	abuse
25332047	control	20150530124125	abuse
25332215	control	20150530124125	abuse
25335741	control	20150530124125	abuse
25335246	treatment	20150530125309	hard username
25336228	treatment	20150530125904	abuse
25331784	treatment	20150530130024	abuse
25339303	control	20150530131753	spam
25339255	control	20150530140840	hard username
25339427	control	20150530141040	hard username
25333555	control	20150530141132	hard username
25333308	treatment	20150530141132	hard username
25330334	treatment	20150530141132	hard username
25339355	control	20150530141444	abuse
25339234	treatment	20150530141513	abuse
25327946	treatment	20150530142518	sockpuppetry
25256247	control	20150530144337	abuse
25337894	treatment	20150530150442	spam
25339558	treatment	20150530150811	abuse
25340219	control	20150530154940	hard username
25340627	control	20150530160222	abuse
25331609	control	20150530173333	hard username
25337482	treatment	20150530174951	abuse
25340877	control	20150530175109	abuse
25341533	control	20150530182251	abuse
25341417	control	20150530183014	abuse
25340944	treatment	20150530184910	abuse
25342062	treatment	20150530191324	abuse
25341405	control	20150530192140	hard username
25341869	control	20150530192546	abuse
25341454	treatment	20150530194947	abuse
25342438	treatment	20150530195908	hard username
25340285	control	20150530202032	hard username
25329603	control	20150530202407	abuse
25341113	control	20150530202930	spam
25342253	control	20150530205136	soft username
25342539	control	20150530205249	abuse
25342793	control	20150530212303	hard username
25343026	treatment	20150530220750	abuse
25333735	control	20150530221344	hard username
25333732	treatment	20150530221351	hard username
25340557	control	20150530221416	hard username
25341885	control	20150530221429	hard username
25333686	treatment	20150530221539	hard username
25333719	control	20150530221946	hard username
25343243	control	20150530222200	hard username
25343289	control	20150530222333	spam
25341574	treatment	20150530222810	spam
25340579	control	20150530222850	policy violation
25341624	treatment	20150530222932	abuse
25341664	treatment	20150530223055	soft username
25343389	control	20150530224302	hard username
25339791	control	20150530225438	abuse
25333979	control	20150530235524	hard username
25343178	treatment	20150531010830	hard username
25342247	control	20150531010927	hard username
25338270	treatment	20150531011726	hard username
25336180	treatment	20150531011749	hard username
25343956	treatment	20150531013641	abuse
25343225	control	20150531014210	abuse
25344490	treatment	20150531023103	abuse
25344531	control	20150531023141	abuse
25341875	control	20150531023420	abuse
25339022	treatment	20150531023448	abuse
25334325	control	20150531023636	abuse
25344519	control	20150531024503	abuse
25327510	treatment	20150531030615	abuse
25344723	control	20150531031459	abuse
25344747	control	20150531031500	abuse
25344610	treatment	20150531031511	abuse
25344655	control	20150531031514	abuse
25344925	control	20150531040228	abuse
25344958	treatment	20150531040253	hard username
25341825	control	20150531040550	spam
25338613	control	20150531040716	spam
25344786	treatment	20150531041045	abuse
25342703	control	20150531044616	hard username
25343025	control	20150531044903	hard username
