rev_id	namespace
663425925	2
663425956	0
663425995	0
663426043	0
663426190	0
663426257	0
663426260	0
663426343	0
663426466	0
663426510	0
663426673	0
663426696	0
663426714	0
663426781	0
663426787	2
663426794	0
663426847	0
663426859	0
663426884	0
663426907	0
663426961	2
663427000	0
663427149	0
663427172	0
663427215	0
663427237	0
663427268	2
663427392	0
663427436	0
663427466	2
663427571	2
663427631	0
663427649	2
663427669	2
663427713	0
663427816	0
663427823	0
663427886	0
663427922	0
663427951	0
663428105	0
663428109	0
663428115	0
663428250	0
663428408	0
663428504	0
663428531	0
663428543	0
663428618	0
663428639	0
663428642	0
663428644	0
663428696	0
663428723	2
663428779	0
663428983	0
663429004	0
663429045	2
663429061	0
663429126	0
663429165	0
663429248	0
663429251	0
663429281	0
663429286	0
663429325	1
663429330	0
663429403	0
663429440	0
663429468	2
663429524	2
663429525	0
663429581	0
663429596	0
663429933	0
663429983	0
663430062	0
663430094	0
663430115	0
663430147	3
663430198	0
663430254	0
663430266	0
663430296	0
663430299	0
663430416	0
663430453	0
663430461	0
663430464	2
663430502	0
663430545	2
663430626	0
663430629	0
663430678	0
663430969	0
663431061	0
663431086	0
663431116	0
663431185	0
663431217	0
663431239	0
663431243	0
663431292	0
663431350	2
663431357	0
663431371	0
663431387	NULL
663431392	0
663431405	0
663431473	0
663431594	0
663431610	NULL
663431621	0
663431623	0
663431704	0
663431730	0
663431765	2
663431843	0
663431892	2
663431967	0
663432005	0
663432065	0
663432205	0
663432369	2
663432388	0
663432413	0
663432629	3
663432677	2
663432723	0
663432810	0
663432852	0
663432883	0
663432976	0
663433050	2
663433122	0
663433133	0
663433260	0
663433261	0
663433278	0
663433300	2
663433412	0
663433417	0
663433465	2
663433468	2
663433647	3
663433669	0
663433705	0
663433730	0
663433750	4
663433766	0
663433811	0
663433828	0
663433838	0
663433884	0
663433903	0
663433918	0
663433944	0
663433972	0
663433979	2
663434044	0
663434063	2
663434087	0
663434114	0
663434112	0
663434163	0
663434184	0
663434246	0
663434318	0
663434337	0
663434360	0
663434378	0
663434430	0
663434504	1
663434535	0
663434548	0
663434559	2
663434641	0
663434671	0
663434681	1
663434712	0
663434715	0
663434743	0
663434787	0
663434814	0
663434901	0
663434972	0
663435056	0
663435064	0
663435096	0
663435109	0
663435119	0
663435142	2
663435199	0
663435353	0
663435362	0
663435416	0
663435455	2
663435458	0
663435465	0
663435510	0
663435603	0
663435628	0
663435678	0
663435683	0
663435690	0
663435739	0
663435763	0
663435842	0
663435891	0
663435926	0
663435952	0
663435961	0
663436015	0
663436053	0
663436081	0
663436180	0
663436183	0
663436207	0
663436277	0
663436287	0
663436311	0
663436319	0
663436330	0
663436334	0
663436344	0
663436410	0
663436426	0
663436451	0
663436462	0
663436493	0
663436498	0
663436495	0
663436535	0
663436566	0
663436687	4
663436774	0
663436775	0
663436798	0
663436833	0
663436947	0
663437029	0
663437119	0
663437153	0
663437280	0
663437334	0
663437340	0
663437447	0
663437445	0
663437456	0
663437503	0
663437565	0
663437583	0
663437639	0
663437650	0
663437656	0
663437683	0
663437690	0
663437753	0
663437776	0
